Post_ID,Platform,Content_Type,Content_Category,Post_Type,Region,Longitude,Latitude,Engagement,Views,Likes,Shares,Comments,Engagement_Rate,Impressions,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Main_Hashtag,Post_Published_At,Post_Date,Post_Hour,Engagement_Level
Post_1,TikTok,Organic,Product Promotion,Video,UK,-3.436,55.3781,54510,599342,125741,35920,15727,0.09095056987,677975,465645,0,16813,0.0248,#FeatureHighlight,2024-03-14 15:42:00,2024-03-14 00:00:00,15,Low
Post_2,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,259440,1896301,206151,139015,83521,0.1368139568,2354474,1896301,0,,,#ProductDemo,2024-04-24 12:02:00,2024-04-24 00:00:00,12,Medium
Post_3,X.com,Organic,Entertainment,Text,Brazil,-51.9253,-14.235,14182,253052,32206,9912,8140,0.05604501509,304915,0,0,,,#MemeMonday,2024-12-01 10:02:00,2024-12-01 00:00:00,10,Low
Post_4,Instagram,Organic,Entertainment,Carousel,Australia,133.7751,-25.2744,49137,735640,121227,32781,32716,0.066795973,829727,0,0,,,#JustForFun,2024-07-07 12:59:00,2024-07-07 00:00:00,12,Low
Post_5,TikTok,Organic,Educational,Video,Brazil,-51.9253,-14.235,20832,77358,13027,5357,2165,0.2693018659,93049,72707,0,1944,0.0209,#CaseStudy2025,2024-01-10 11:28:00,2024-01-10 00:00:00,11,High
Post_6,LinkedIn,Organic,Customer Story,Image,Australia,133.7751,-25.2744,47292,217539,41084,7031,9637,22%,246712,0,0,,,#SuccessStory,9:18:00 AM,2/5/2024,9,High
Post_7,YouTube,Organic,Customer Story,Video,Japan,138.2529,36.2048,44036,189936,38487,9878,4725,0.2318485837,227739,178450,0,,,#CustomerStory,2024-05-05 12:45:00,2024-05-05 00:00:00,12,High
Post_8,YouTube,Organic,Customer Story,Video,UK,-3.436,55.3781,325640,1781229,187310,134422,54062,0.1828179785,2195372,1781229,0,,,#CustomerStory,2024-03-23 15:47:00,2024-03-23 00:00:00,15,Medium
Post_9,X.com,Organic,Product Promotion,Text,India,78.9629,20.5937,38084,270886,49303,10630,15923,0.1405930406,339969,0,0,,,#FeatureHighlight,2025-04-29 16:36:00,2025-04-29 00:00:00,16,Medium
Post_10,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,76170,530247,124196,31759,30157,0.1436507845,592656,530247,0,8949,0.0151,#ProductDemo,2025-02-16 15:43:00,2025-02-16 00:00:00,15,Medium
Post_11,Instagram,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,26520,149091,20977,10650,5109,0.1778813085,172377,0,317078,,,#EventRecap,2024-10-28 10:50:00,2024-10-28 00:00:00,10,Medium
Post_12,X.com,Organic,Educational,Text,Australia,133.7751,-25.2744,22233,91670,11104,6426,2106,0.2425338335,118930,0,0,,,#SuccessStory,2024-04-23 15:15:00,2024-04-23 00:00:00,15,High
Post_13,YouTube,Sponsored,Educational,Video,Canada,-106.3468,56.1304,226309,1492308,150466,105615,72040,0.1516509349,1859119,1492308,0,,,#CustomerStory,2025-02-07 09:08:00,2025-02-07 00:00:00,9,Medium
